,Index,Strokes,Meanings,Readings,krad,Kanji,Grade,Kanji Classification,JLPT-test,Kanji Frequency with Proper Nouns,Kanji Frequency without Proper Nouns,Symmetry
単,297,9,"[' one layer/single layer monopetalous unlined kimono single-edged eyelid/eyelid with an epicanthic fold/upper eyelid with no fold,', ' single/simple singles (tennis, badminton, etc.) win bet/bet which predicts the winner of a race]']","['ひとえ', 'たん']","['十', '⺌', '田']",['単'],[4],['象形 Pictographic'],[3],[63753],[63748],['R']
博,298,12,[' doctor/PhD exposition/fair/exhibition]'],['はく'],"['十', '寸', '田', '丶']",['博'],[4],['形声 Phonetic'],[1],[64841],[29145],['R']
卦,299,8,[' divination sign]'],['け'],"['土', '卜']",,,,,,,
印,300,6,"[' stamp/seal/chop seal impression/seal/sealing/stamp/mark/print mudra (symbolic hand gesture) ninja hand sign India,', ' mark/sign symbol/emblem badge/crest/flag evidence/proof token (of gratitude, affection, etc.)]']","['いん', 'しるし']","['｜', '卩']",['印'],[4],['会意 Com. Ideographic'],[2],[55714],[48983],['S']
危,301,6,"[' danger Chinese ""rooftop"" constellation (one of the 28 mansions)]']",['き'],"['勹', '厂', '卩']",['危'],[6],['形声 Phonetic'],[3],[72507],[72486],['R']
即,302,7,[' instantly/immediately/at once equals/means/is oneness (of two opposing things)/inseparability]'],['そく'],"['艮', '卩']",['即'],[7],['会意 Com. Ideographic'],[1],[13182],[13182],['R']
却,303,7,[],[],"['土', '卩', '厶']",['却'],[7],['会意 Com. Ideographic'],[1],[34599],[34599],['P']
卵,304,7,"["" eggs/egg/spawn/roe (hen's) egg (an expert) in the making beginning/origin/infancy,"", ' egg/eggshell,', ' ovum/ovule/egg cell]']","['たまご', 'かい', 'らん']","['ノ', '卜', '丶', '卩']",['卵'],[6],['象形 Pictographic'],[2],[12096],[12096],['S']
卿,305,12,[' Lord/Sir state minister (under the ritsuryo system) you (in reference to someone of lower status)]'],['きょう'],"['艮', '卩']",,,,,,,
厄,306,4,[' misfortune/bad luck/evil/disaster unlucky year/critical year smallpox]'],['やく'],"['卩', '厂']",['厄'],[7],['形声 Phonetic'],[1],[819],[817],['S']
厘,307,9,[' one-hundredth/0.3 mm (one-hundredth of a sun)/0.1 percent (one-hundredth of a wari)/0.0375 grams (one-hundredth of a monme) rin (monetary unit;001 yen)]'],['りん'],"['里', '厂']",['厘'],[7],['形声 Phonetic'],[1],[5648],[5646],['.']
厚,308,9,[' thickness]'],['あつ'],"['子', '日', '厂']",['厚'],[5],['会意 Com. Ideographic'],[2],[68054],[47396],['R']
原,309,10,"[' original/primitive/primary/fundamental/raw,', ' field/plain/prairie/tundra/moor/wilderness,', ' suffixed to words indicating a class of people to create a plural (esp. in impolite contexts)]']","['げん', 'はら', 'ばら']","['小', '白', '厂']",['原'],[2],['象形 Pictographic'],[3],[340241],[180401],['R']
厦,310,12,[],[],"['一', '自', '厂', '夂']",,,,,,,
厨,311,12,"[' kitchen,', ' (Internet) troll/nerd/freak/addict/fag]']","['くりや', 'ちゅう']","['口', '寸', '豆', '并', '厂']",,,,,,,
厭,312,14,[' disagreeable/detestable/unpleasant/reluctant]'],['いや'],"['月', '犬', '日', '厂']",,,,,,,
厳,313,17,[' strict/stern]'],['げん'],"['耳', '⺌', '厂', '攵']",['厳'],[6],['形声 Phonetic'],[1],[60693],[60374],['S']
去,314,5,[],[],"['土', '厶']",['去'],[3],['会意 Com. Ideographic'],[4],[106919],[106911],['S']
参,315,8,"[' three tri-,', ' Chinese ""Three Stars"" constellation (one of the 28 mansions)]']","['さん', 'しん']","['一', '厶', '彡']",['参'],[4],['会意 Com. Ideographic'],[3],[210543],[148993],['R']
又,316,2,"[' again/once more/once again/another time/some other time also/too/as well/likewise on the other hand/while and/in addition/besides/moreover/furthermore or/otherwise really/how/(what, why) on earth indirect]']",['また'],['又'],['又'],[7],['象形 Pictographic'],[1],[3304],[1402],['.']
及,317,3,[' and/as well as]'],"['および', 'び']","['丶', '及', '乃']",['及'],[7],['会意 Com. Ideographic'],[1],[65027],[62000],['S']
友,318,4,"[' friend/companion/comrade/pal accompaniment/companion (e.g. book)/complement/accessory,', ' friend affection (for siblings)]']","['とも', 'ゆう']","['ノ', '一', '又']",['友'],[2],['会意 Com. Ideographic'],[5],[73292],[42506],['S']
双,319,4,"[' pair,', ' both many/various/all together]']","['そう', 'もろ']","['又', '丶']",['双'],[7],['会意 Com. Ideographic'],[2],[18829],[16367],['R']
