,Index,Strokes,Meanings,Readings,krad,Kanji,Grade,Kanji Classification,JLPT-test,Kanji Frequency with Proper Nouns,Kanji Frequency without Proper Nouns,Symmetry
 ,0,[' '],[' '],[' '],[' '],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
々,1,3,[' kanji repetition mark]'],['のま'],['々'],,,,,,,
一,2,1,"[' one best first/foremost beginning/start a (single)/one (of many) ace (playing card) bottom string (on a shamisen, etc.),', ' one for one thing only (not) even just (e.g. ""just try it"") some kind of/one type of, イー', ' one,', ' most/best,', ' one one,', ' one same (mind, path, etc.)]']","['いち', 'ひとつ', 'つ', 'いっち', 'ひと', 'いつ']",['一'],['一'],[1],['指事 Ideographic'],[5],[1037182],[848362],['R']
丁,3,2,"[' counter for leaves in a book (esp. one with traditional Japanese-style binding) counter for blocks of tofu/counter for servings in a restaurant counter for long and narrow things such as guns, scissors, spades, hoes, inksticks, palanquins, candles, jinrikishas, shamisen, oars, etc. even number 109.09 m,', ' fourth rank/fourth class/fourth party (in a contract, etc.) fourth sign of the Chinese calendar Denmark]']","['ちょう', 'てい']","['一', '亅']",['丁'],[3],['象形 Pictographic'],[1],[14027],[13222],['S']
七,4,2,"[' seven hepta-, チー', ' seven]']",['しち'],"['乙', '匕', 'ノ']",['七'],[1],['仮借 Loan'],[5],[55012],[51124],['R']
万,5,3,"[' completely/absolutely/totally,', ' 10,000/ten thousand myriad everything/all various]']","['ばん', 'まん']","['｜', 'ノ', '一']",['万'],[2],['象形 Pictographic'],[5],[409412],[404560],['R']
丈,6,3,"[' only/just/merely/simply/no more than/nothing but/alone as much as/to the extent of/enough to,', ' height/stature length (esp. of clothing) all (one has)/everything magnificence (of a waka poem, etc.),', '03 meters (ten shaku) length/measure Mr./Mrs.]']","['だけ', 'たけ', 'じょう']","['ノ', '一', '丶']",['丈'],[7],['会意 Com. Ideographic'],[0],[15154],[10047],['P']
三,7,3,"[' three tri-, サン', ' three]']",['さん'],"['一', '二']",['三'],[1],['指事 Ideographic'],[5],[304749],[151259],['R']
上,8,3,"[' above/up/over/elder (e.g. daughter) top/summit/head (e.g. of a staircase) surface before/previous superiority/one\'s superior/one\'s elder on top of that/besides/what\'s more/not only ... but upon (further inspection, etc.)/based on (and occurring after) matters concerning .../as concerns ... since (i.e. ""for that reason"") 10. honorable/venerable 11. place of one\'s superior (e.g. the throne) 12. emperor/sovereign/shogun/daimyo 13. noblewoman (esp. the wife of a nobleman),', ' upper/upward/outer/surface/top,', ' upper reaches (of a river)/upper stream top/upper part/upper half (of the body) long ago beginning/first person of high rank (e.g. the emperor) government/imperial court imperial capital (i.e. Kyoto)/capital region (i.e. Kansai)/region (or direction of) the imperial palace head (of a table) wife/mistress (of a restaurant),', ' from the standpoint of/as a matter of (e.g. fact)/in the field of/being of the type of aboard (a ship or vehicle)/on top of/on/above first volume (e.g. book) superior quality/best/top/high class going up governmental/imperial presenting/showing ana-]']","['うえ', 'うわ', 'かみ', 'じょう']","['一', '卜']",['上'],[1],['指事 Ideographic'],[5],[862397],[739020],['S']
下,9,3,"["" below/down/under/younger (e.g. daughter) bottom beneath/underneath just after/right after inferiority/one's inferior (i.e. one's junior) trade-in preliminary/preparatory,"", "" under (guidance, supervision, rules, the law, etc.) under (a flag, the sun, etc.)/beneath with (e.g. one blow)/on (the promise, condition, assumption, etc. that ...)/in (e.g. the name of) (somebody's) side/(somebody's) location,"", ' lowness (of degree, value, etc.)/inferiority second volume (of two)/third volume (of three),', ' lower reaches (of a river) bottom/lower part lower half (of the body, esp. the privates)/feces (faeces)/urine/menses end/far from the imperial palace (i.e. far from Kyoto, esp. of western Japan) dirty (e.g. dirty jokes, etc.),', ' under (influence, control, conditions, etc. of)/during (war, occupation, etc.)]']","['した', 'もと', 'げ', 'しも', 'か']","['｜', '一', '卜']",['下'],[1],['指事 Ideographic'],[5],[390613],[328608],['S']
不,10,4,"[' un-/non-/negative prefix,', ' un-/non- bad .../poor ...]']","['ふ', 'ぶ']","['｜', 'ノ', '一', '丶']",['不'],[4],['仮借 Loan'],[4],[379808],[375009],['R']
与,11,3,[' together with ...]'],['むた'],"['勹', '一', '卜']",['与'],[7],['会意 Com. Ideographic'],[3],[149687],[143595],['S']
世,12,5,"[' world/society/public life/lifetime age/era/period/epoch/generation reign/rule the times world (of existence),', ' counter for generations epoch]']","['よ', 'せい']","['｜', '一', '世']",['世'],[3],['象形 Pictographic'],[4],[356337],[337799],['P']
丘,13,5,"[' hill/height/knoll/rising ground bonus points awarded to the winner at the end of a game,', ' mound/hill]']","['おか', 'つかさ']","['一', '斤']",['丘'],[7],['象形 Pictographic'],[1],[9788],[3344],['S']
両,14,6,"[' both (hands, parents, sides, etc.) counter for carriages (e.g. in a train)/counter for vehicles ryō/tael/traditional unit of weight (for gold, silver and drugs), 4-5 monme, 15-19 g ryō/pre-Meiji unit of currency, orig. the value of one ryō of gold ryō/traditional measure of fabric, 2 tan ryō/tael/unit of weight under the Ritsuryo system, 1/16 kin, 42-43 g counter for suits of clothing, sets of armor, etc.,', ' both many/various/all together,', ' two]']","['りょう', 'もろ', 'りゃん']","['｜', '一', '冂', '山']",['両'],[3],['象形 Pictographic'],[3],[152434],[151596],['R']
並,15,8,"[' average/medium/common/ordinary mid-grade (item)/regular grade same level as/equal to/equivalent to/on par with each (e.g. month)/every row of (teeth, houses, etc.)/line of]']",['なみ'],"['｜', '一', '二', '并']",['並'],[6],['会意 Com. Ideographic'],[2],[52167],[46713],['S']
中,16,4,"[' inside/interior/in among/within middle/center/centre during/while/middle/midst/amid interval/gap mean/average second (of three, e.g. sons, volumes)/middle medium grade/medium quality red-light district,', "" inside/within while (e.g. one is young)/during/within (e.g. a day)/in the course of among/amongst/(out) of/between in (secret, chaos, poverty, etc.)/amidst/with (e.g. success) within oneself/one's feelings/inner thoughts we/our company/our organization one's home/one's family my spouse/my husband/my wife signed on behalf of (husband's name) by his wife 10. I/me 11. imperial palace grounds 12. emperor,"", ' medium/average/middle moderation middle school China volume two (of three) during (a certain time when one did or is doing something)/under (construction, etc.)/while in/out of/of the,', ' through/throughout/in the course of all over or throughout (e.g. a place), チュン', ' red dragon tile winning hand with a pung (or kong) of red dragon tiles]']","['なか', 'うち', 'ちゅう', 'じゅう']","['｜', '口']",['中'],[1],['象形 Pictographic'],[5],[1327113],[846645],['S']
丸,17,3,"["" circle entirety/whole/full/complete money/dough/moola enclosure inside a castle's walls soft-shelled turtle suffix for ship names/suffix for names of people (esp. infants)/suffix for names of swords, armour, musical instruments, etc./suffix for names of dogs, horses, etc.,"", ' fishball/meatball pill]']","['まる', 'がん']","['九', '丶']",['丸'],[2],['象形 Pictographic'],[2],[51748],[20149],['S']
丹,18,4,[' red earth (i.e. containing cinnabar or minium)/vermilion]'],['に'],"['ノ', '一', '丶', '亅']",['丹'],[7],['象形 Pictographic'],[1],[11381],[2129],['S']
主,19,5,"[' chief/main/principal/important main secondary or supporting role (in kyogen),', "" (one's) master Lord the main thing/the majority/the primary concern,"", ' head (of a household, etc.)/leader/master owner/proprietor/proprietress subject (of a rumour, etc.)/doer (of a deed) guardian spirit (e.g. long-resident beast, usu. with mystical powers)/long-time resident (or employee, etc.) husband you,', "" head (of a household)/proprietor (of a store)/proprietress/landlord/landlady one's husband (one's) employer/(one's) master host/hostess,"", ' you,', ' honorific (or familiar) suffix used after a name,', "" head (of a household)/proprietor (of a store)/proprietress/landlord/landlady/master (of a servant) entertaining someone as one's guest]""]","['おも', 'しゅ', 'ぬし', 'しゅじん', 'にし', 'す', 'あるじ']","['王', '丶']",['主'],[3],['象形 Pictographic'],[4],[478885],[393309],['S']
乃,20,2,"["" 's/of/belonging to]""]",['の'],"['｜', 'ノ', '一', '乃']",,,,,,,
久,21,3,[],[],"['ノ', '入', '久']",['久'],[5],['象形 Pictographic'],[2],[86023],[15812],['S']
之,22,3,"[' this/this one this person now/this point (in time) here used to stress the subject of a sentence I/me,', "" 's/of/belonging to]""]","['これ', 'れ', 'の']","['乙', '丶', '亠', '廴']",,,,,,,
乎,23,5,[],[],"['ノ', '一', '并', '亅']",,,,,,,
乏,24,4,[],[],"['ノ', '乙', '丶', '亠']",['乏'],[7],['象形 Pictographic'],[1],[6046],[6046],['P']
乗,25,9,"["" (nth) power counter for vehicles multiplication Buddha's teachings]""]",['じょう'],"['｜', 'ノ', '一', '禾', 'ハ']",['乗'],[3],['会意 Com. Ideographic'],[3],[109192],[108840],['S']
乙,26,1,"[' second (party to an agreement)/the B party (e.g. in a contract)/the latter/defendant stylish/chic/spicy/witty/tasty/romantic strange/quaint/queer thank you/good job see you/goodbye/goodnight,', ' second in rank/second sign of the Chinese calendar,', ' younger brother (of an older brother)/younger sister (of an older sister) youngest child young/younger/youngest young and beautiful/cute]']","['おつ', 'きのと', 'おと']",['乙'],['乙'],[7],['象形 Pictographic'],[1],[2172],[1348],['S']
九,27,2,"[' nine, チュー', ' nine]']",['きゅう'],['九'],['九'],[1],['象形 Pictographic'],[5],[83167],[44817],['R']
乞,28,3,[],[],"['ノ', '一', '乙']",['乞'],[7],['象形 Pictographic'],[0],[273],[252],['.']
也,29,3,[' to be to be (location) sum of money]'],['なり'],"['｜', '乙', '匕', '也']",,,,,,,
乱,30,7,[' revolt/rebellion/war]'],['らん'],"['乙', '口', '舌']",['乱'],[6],['会意 Com. Ideographic'],[2],[43946],[43338],['S']
乳,31,8,[' milk breast loop decorative bump (on a hanging bell)]'],['ちち'],"['乙', '子', '爪']",['乳'],[6],['会意 Com. Ideographic'],[2],[18871],[17326],['S']
乾,32,11,"[' drying/dried,', ' qian (one of the trigrams of the I Ching', ' heaven, northwest),', ' northwest]']","['ほし', 'し', 'けん', 'いぬい']","['乙', '十', '日']",['乾'],[7],['会意 Com. Ideographic'],[2],[7656],[7077],['R']
亀,33,11,[' tortoise/turtle heavy drinker turtle crest/turtle mon]'],['かめ'],"['亀', '田', '勹', '乙']",['亀'],[7],['象形 Pictographic'],[1],[20419],[5017],['.']
了,34,2,"[' finish/completion/the end,', ' fact/truth/understanding/consideration]']","['りょう', 'りょう']","['一', '亅']",['了'],[7],['象形 Pictographic'],[2],[46718],[46239],['S']
予,35,4,[' I/me]'],['よ'],"['マ', '一', '亅']",['予'],[3],['象形 Pictographic'],[3],[246395],[245667],['R']
争,36,6,[],[],"['ヨ', '一', '亅', '勹']",['争'],[4],['会意 Com. Ideographic'],[3],[133311],[131595],['S']
事,37,8,"["" thing/matter incident/occurrence/event/something serious/trouble/crisis circumstances/situation/state of affairs work/business/affair after an inflectable word, creates a noun phrase indicating something the speaker does not feel close to nominalizing suffix pretending to .../playing make-believe ... alias/also known as/otherwise known as/or necessity/need 10. you should .../I advise that you .../it's important to ...,"", ' individual concrete phenomenon (as opposed to a general principle),', ' nominalizing suffix pretending to .../playing make-believe ...]']","['こと', 'じ', 'ごと']","['一', '口', '亅', 'ヨ']",['事'],[3],['会意 Com. Ideographic'],[4],[934182],[925136],['P']
二,38,2,"[' two, アル', ' two]']",['に'],['二'],['二'],[1],['指事 Ideographic'],[5],[207617],[155284],['R']
于,39,3,[],[],"['二', '亅']",,,,,,,
互,40,4,[],[],"['ヨ', '一', '彑']",['互'],[7],['象形 Pictographic'],[3],[22660],[22648],['S']
五,41,4,"[' five, ウー', ' five]']",['ご'],"['一', '二', '五']",['五'],[1],['仮借 Loan'],[5],[166108],[149703],['R']
井,42,4,"[' well,', ' well curb Chinese ""Well"" constellation (one of the 28 mansions)]']","['い', 'せい']","['｜', 'ノ', '一', '二', '井']",['井'],[7],['象形 Pictographic'],[1],[234115],[9355],['S']
亡,43,3,[' death the late/the deceased]'],['ぼう'],"['亡', '亠']",['亡'],[6],['象形 Pictographic'],[3],[83912],[83912],['S']
亢,44,4,"[' Chinese ""Neck"" constellation (one of the 28 mansions)]']",['こう'],"['亠', '几']",,,,,,,
交,45,6,"[' alternately/in succession,', ' association/fellowship change (of season, year, etc.)]']","['こもごも', 'こう']","['父', '亠']",['交'],[2],['象形 Pictographic'],[3],[364208],[354159],['R']
亥,46,6,"[' the Boar (twelfth sign of the Chinese zodiac)/the Pig hour of the Boar (around 10pm, 9-11pm, or 10pm to 12 midnight) north-northwest tenth month of the lunar calendar]']",['い'],"['人', '亠']",,,,,,,
享,47,8,[],[],"['口', '子', '亠']",['享'],[7],['象形 Pictographic'],[1],[2293],[1114],['.']
亭,48,9,[' arbor/arbour/bower/pavilion suffix forming the final part of the pseudonyms of some writers and performers suffix forming the final part of the name of a restaurant]'],['てい'],"['口', '亅', '亠', '冖']",['亭'],[7],['象形 Pictographic'],[1],[7372],[5734],['.']
人,49,2,"[' -ian (e.g. Italian)/-ite (e.g. Tokyoite) -er (e.g. performer, etc.)/person working with ... man/person/people,', ' person,', ' man/person human being/mankind/people human (Homo sapiens)/humans as a species character/personality man of talent/true man another person/other people/others adult,', ' counter for people]']","['じん', 'と', 'ひと', 'にん']",['人'],['人'],[1],['象形 Pictographic'],[5],[1757335],[1696029],['P']
什,50,4,[' 10/ten book containing a collection of poems]'],['じゅう'],"['⺅', '十']",,,,,,,
仁,51,4,[' benevolence (esp. as a virtue of Confucianism)/consideration/compassion/humanity/charity human kernel nucleolus]'],['じん'],"['⺅', '二']",['仁'],[6],['会意 Com. Ideographic'],[1],[19549],[3227],['S']
仇,52,4,"[' foe/enemy/rival resentment/enmity/grudge harm/injury,', ' rival/opponent/adversary/competitor/enemy (esp. one with which there is longstanding enmity)/foe revenge spouse]']","['あだ', 'かたき']","['⺅', '九']",,,,,,,
今,53,4,"[' now/the present time/just now/soon/immediately another/more,', "" the current .../this today's ...]""]","['いま', 'こん']","['𠆢', '一']",['今'],[2],['仮借 Loan'],[5],[538441],[521143],['R']
介,54,4,[],[],"['ハ', '𠆢']",['介'],[7],['象形 Pictographic'],[2],[101634],[83725],['S']
仏,55,4,"[' France French language,', ' Buddha Buddhism,', ' Buddha/Shakyamuni Buddhist image/figure of Buddha the dead/dead person/departed soul merciful person]']","['ふつ', 'ぶつ', 'ほとけ']","['⺅', '厶']",['仏'],[5],['形声 Phonetic'],[2],[34332],[6745],['R']
仕,56,5,[' official/civil service]'],['し'],"['⺅', '士']",['仕'],[3],['形声 Phonetic'],[4],[102116],[102023],['R']
他,57,5,"[' other (place, thing, person)/the rest outside/beyond nothing except/nothing but/nothing apart from/nothing aside from/no choice (but to) besides.../in addition to...,', ' other (esp. people and abstract matters)]']","['ほか', 'た']","['⺅', '也']",['他'],[3],['形声 Phonetic'],[3],[76614],[76605],['R']
付,58,5,"[' furnished with/including attached to impression/appearance luck sociality under/assistant (e.g. to a manager) soup base,', ' dated (e.g. a letter)/date of effect (e.g. a rule change)]']","['つき', 'き', 'づけ']","['⺅', '寸']",['付'],[4],['会意 Com. Ideographic'],[3],[223721],[222560],['S']
仙,59,5,"['[セント', ' cent (monetary unit),', ' hermit/wizard wizardry]']",['せん'],"['⺅', '山']",['仙'],[7],['形声 Phonetic'],[1],[27445],[910],['S']
仞,60,5,"[' ren (ancient Chinese measure of height, depth, etc.; between 1-3 meters)]']",['じん'],"['⺅', '刀', '丶']",,,,,,,
代,61,5,"[' substitution material price margin (e.g. for stapling, etc.)/area required for something shiro (unit of land area equal to one-fiftieth of a tan; approx. 19.83 m.sq.),', ' world/society/public life/lifetime age/era/period/epoch/generation reign/rule the times world (of existence),', ' charge/cost/price generation/age/(school) year/cohort/reign era a representative of/on behalf of/for (someone) switchboard number counter for decades of ages, eras, etc. counter for generations (of inheritors to a throne, etc.) proxy application company pronoun]']","['しろ', 'よ', 'だい']","['⺅', '弋']",['代'],[3],['形声 Phonetic'],[4],[549569],[504830],['P']
令,62,5,"[' command/order/dictation nth year in the Reiwa era (May 1, 2019-),', ' administrative and civil code]']","['れい', 'りょう']","['𠆢', '卩', '一']",['令'],[4],['象形 Pictographic'],[2],[38748],[38418],['P']
以,63,5,[],[],"['｜', '人', '丶']",['以'],[4],['象形 Pictographic'],[4],[320232],[319095],['R']
仮,64,6,"[' lacking substance and existing in name only/something without substance,', ' temporary/provisional/interim fictitious/assumed (name)/alias hypothetical/theoretical]']","['け', 'かり']","['⺅', '又', '厂']",['仮'],[5],['形声 Phonetic'],[1],[19971],[19623],['R']
仰,65,6,[],[],"['⺅', '卩']",['仰'],[7],['形声 Phonetic'],[1],[6430],[5769],['S']
仲,66,6,"[' relation/relationship,', ' broker/brokerage/brokerage fee]']","['なか', 'すあい']","['｜', '⺅', '口']",['仲'],[4],['形声 Phonetic'],[2],[42150],[27518],['S']
件,67,6,"[' the aforementioned/the said/(man, incident, etc.) in question/the above-mentioned/the aforesaid the usual,', ' matter/affair/case/item/subject counter for (received) emails, text messages, voicemail messages, etc. counter for accounts (on a website, email service, etc.),', ' passage/paragraph]']","['くだん', 'けん', 'くだり']","['⺅', '牛']",['件'],[5],['会意 Com. Ideographic'],[3],[244514],[244194],['P']
任,68,6,[' obligation/duty/charge/responsibility]'],['にん'],"['ノ', '王', '⺅', '士']",['任'],[5],['形声 Phonetic'],[3],[216719],[215095],['P']
伉,69,6,[],[],"['⺅', '亠', '几']",,,,,,,
伊,70,6,[' Italy]'],['い'],"['｜', 'ヨ', '⺅']",,,,,,,
伍,71,6,"[' five,', ' company/group/class troop/rank/file]']","['ご', 'ご']","['一', '⺅']",,,,,,,
伎,72,6,[' technique/art/skill/move]'],['わざ'],"['⺅', '支', '又', '十']",['伎'],[7],['形声 Phonetic'],[1],[7779],[5317],['.']
伏,73,6,[],[],"['⺅', '犬']",['伏'],[7],['会意 Com. Ideographic'],[1],[12862],[7413],['S']
伐,74,6,[],[],"['⺅', '戈']",['伐'],[7],['会意 Com. Ideographic'],[1],[2950],[2948],['S']
休,75,6,[],[],"['⺅', '木']",['休'],[1],['会意 Com. Ideographic'],[5],[57608],[57257],['S']
会,76,6,"[' gathering (esp. Buddhist, festive, etc.),', ' meeting/assembly/party/gathering/conference/athletic meet society/association/club]']","['え', 'かい']","['二', '𠆢', '厶']",['会'],[2],['象形 Pictographic'],[4],[1467498],[1439692],['P']
伝,77,6,"[' means of making contact/intermediary/go-between connections/influence/pull/good offices,', ' legend/tradition biography/life method/way horseback transportation and communication relay system used in ancient Japan]']","['つて', 'でん']","['⺅', '二', '厶']",['伝'],[4],['会意 Com. Ideographic'],[3],[118726],[117732],['S']
伯,78,7,[' count/earl chief official of the Department of Worship eldest brother Brazil/Brazilian]'],['はく'],"['⺅', '白']",['伯'],[7],['形声 Phonetic'],[1],[7502],[3625],['S']
伴,79,7,[' companion/follower/attendant/retinue]'],['とも'],"['｜', '⺅', '二', '并', '十']",['伴'],[7],['形声 Phonetic'],[1],[29893],[29110],['S']
伶,80,7,[],[],"['𠆢', '卩', '一', '⺅']",,,,,,,
伸,81,7,[],[],"['｜', '⺅', '日', '田']",['伸'],[7],['形声 Phonetic'],[2],[50886],[35458],['S']
伺,82,7,[' call/visit inquiry/enquiry/question]'],"['うかがい', 'い']","['⺅', '口', '亅', '一']",['伺'],[7],['形声 Phonetic'],[2],[451],[451],['.']
似,83,7,"["" looking like (someone)/taking after (either of one's parents)]""]",['に'],"['⺅', '人', '丶']",['似'],[5],['形声 Phonetic'],[3],[17632],[17428],['P']
伽,84,7,[' nursing/nurse/attending/attendant/entertainer]'],['とぎ'],"['⺅', '口', '力']",,,,,,,
佇,85,7,[],[],"['⺅', '亅', '宀']",,,,,,,
位,86,7,"["" throne/crown/(nobleman's) seat government position/court rank social standing/rank/class/echelon/rung grade (of quality, etc.)/level/tier/rank position of a figure (e.g. tens, thousands)/digit/(decimal) place degree/extent/amount,"", ' rank/place (e.g. first place) decimal place counter for ghosts]']","['くらい', 'い']","['⺅', '立']",['位'],[4],['会意 Com. Ideographic'],[3],[268425],[265390],['P']
低,87,7,"[' low (level, value, price, etc.)]']",['てい'],"['⺅', '氏']",['低'],[4],['形声 Phonetic'],[2],[91396],[91396],['R']
住,88,7,[' dwelling/living]'],['じゅう'],"['王', '⺅', '丶']",['住'],[3],['形声 Phonetic'],[4],[192383],[169176],['S']
佐,89,7,[],[],"['ノ', '一', '⺅', '工']",['佐'],[7],['形声 Phonetic'],[1],[125737],[12920],['S']
佑,90,7,[],[],"['ノ', '一', '⺅', '口']",,,,,,,
体,91,7,"[' body torso/trunk build/physique/frame/figure health/constitution corpse/dead body,', ' body/physique/posture shape/form/style substance/identity/reality field counter for humanoid forms (e.g. dolls, statues, corpses, etc.) typeface/type,', ' appearance/air/condition/state/form]']","['からだ', 'たい', 'てい']","['木', '一', '⺅']",['体'],[2],['形声 Phonetic'],[4],[440216],[430860],['P']
何,92,7,"["" what you-know-what/that thing whatsit/whachamacallit/what's-his-name/what's-her-name (not) at all/(not) in the slightest what?/huh? hey! oh, no (it's fine)/why (it's nothing)/oh (certainly not),"", ' what how many many/a lot of several/a few/some]']","['なに', 'なん']","['⺅', '口', '亅']",['何'],[2],['形声 Phonetic'],[5],[131255],[131229],['R']
余,93,7,[' other/another/remaining/leftover over/more than I/me]'],['よ'],"['一', '二', 'ハ', '𠆢', '亅', '示', '二', '小']",['余'],[5],['形声 Phonetic'],[3],[47259],[46813],['R']
佚,94,7,[' being comfortable/relaxing]'],['いつ'],"['ノ', '⺅', '人', '大', '二']",,,,,,,
作,95,7,[' work (e.g. of art)/production harvest/cultivation/farming/crop/yield technique]'],['さく'],"['｜', 'ノ', '⺅']",['作'],[2],['形声 Phonetic'],[4],[513294],[500901],['P']
佞,96,7,[' flattery/insincerity]'],['ねい'],"['⺅', '女', '二']",,,,,,,
佩,97,8,[' ancient oriental belt decoration counter for swords]'],['はい'],"['⺅', '巾', '几']",,,,,,,
佳,98,8,[' beautiful/good/excellent]'],['か'],"['⺅', '土']",['佳'],[7],['形声 Phonetic'],[1],[16214],[1945],['R']
併,99,8,[],[],"['｜', 'ノ', '一', '⺅', '二', '并', '廾']",['併'],[7],['形声 Phonetic'],[1],[30860],[30859],['R']
佶,100,8,[],[],"['⺅', '口', '士']",,,,,,,
佻,101,8,[],[],"['⺅', '儿', '冫']",,,,,,,
佼,102,8,[],[],"['⺅', '父', '亠']",,,,,,,
使,103,8,"[' messenger police and judicial chief (Heian and Kamakura periods) klesha (polluting thoughts such as greed, hatred and delusion, which result in suffering)]']",['し'],"['ノ', '一', '⺅', '口']",['使'],[3],['形声 Phonetic'],[4],[207502],[207147],['S']
侃,104,8,[],[],"['⺅', '口', '川']",,,,,,,
侈,105,8,[],[],"['⺅', '夕']",,,,,,,
供,106,8,[' companion/follower/attendant/retinue]'],['とも'],"['｜', '一', '⺅', '二', 'ハ']",['供'],[6],['形声 Phonetic'],[3],[137249],[136909],['R']
依,107,8,[],[],"['衣', '⺅', '亠']",['依'],[7],['会意 Com. Ideographic'],[2],[29057],[25622],['S']
侠,108,8,[' tomboy/bobby soxer/flapper]'],['きゃん'],"['⺅', '人', '大', '二', '并', '亠']",,,,,,,
価,109,8,"[' price/cost value/worth/merit value,', ' valence/valency]']","['あたい', 'か']","['⺅', '西']",['価'],[5],['形声 Phonetic'],[1],[166907],[164689],['P']
侯,110,9,[' marquis/lord/daimyo]'],['こう'],"['⺅', '矢']",['侯'],[7],['会意 Com. Ideographic'],[1],[374],[285],['.']
侵,111,9,[],[],"['ヨ', '⺅', '又', '冖']",['侵'],[7],['形声 Phonetic'],[1],[23066],[23066],['R']
便,112,9,"[' flight (e.g. airline flight)/trip (e.g. train trip)/service mail/post/letter opportunity/chance,', ' convenience/service/facility/accommodation excreta (esp. faeces)/excrement/stool,', ' something to rely on/aid/clue/way/means someone to rely on/relative reminder/memento]']","['びん', 'べん', 'よすが']","['｜', 'ノ', '一', '⺅', '日', '田']",['便'],[4],['会意 Com. Ideographic'],[3],[48844],[47573],['S']
係,113,9,"[' charge/duty/person in charge/official/clerk connection/linking,', ' charge/duty/person in charge/official/clerk]']","['かかり', 'がかり']","['ノ', '⺅', '糸', '幺', '小']",['係'],[3],['会意 Com. Ideographic'],[3],[171020],[171018],['R']
俊,114,9,[' excellence/genius]'],['しゅん'],"['⺅', '儿', '厶', '夂']",['俊'],[7],['形声 Phonetic'],[1],[35764],[2755],['S']
俎,115,9,"[' altar of sacrifice,', ' chopping board/cutting board]']","['そ', 'まないた', 'まな']","['人', '目']",,,,,,,
俗,116,9,[' layman (esp. as opposed to a Buddhist monk)/laity/man of the world/the world local manners/modern customs common/popular vulgar/low]'],['ぞく'],"['⺅', '口', '谷', 'ハ', '𠆢']",['俗'],[7],['形声 Phonetic'],[1],[5701],[5694],['S']
俚,117,9,[],[],"['⺅', '里']",,,,,,,
俛,118,9,[],[],"['⺅', '免', '儿']",,,,,,,
保,119,9,[],[],"['⺅', '口', '木']",['保'],[5],['会意 Com. Ideographic'],[1],[371112],[299957],['R']
信,120,9,[' honesty/sincerity/fidelity trust/reliance/confidence (religious) faith/devotion counter for received messages]'],['しん'],"['⺅', '言']",['信'],[4],['会意 Com. Ideographic'],[3],[236001],[172908],['S']
修,121,10,[],[],"['｜', '⺅', '彡', '攵']",['修'],[5],['会意 Com. Ideographic'],[1],[78951],[65049],['R']
俯,122,10,[],[],"['⺅', '寸', '广']",,,,,,,
倉,123,10,[' warehouse/storehouse/cellar/magazine/granary/godown/depository/treasury/elevator]'],['くら'],"['ノ', '口', '𠆢']",['倉'],[4],['象形 Pictographic'],[1],[40861],[6488],['P']
倍,124,10,[' twice/double times/-fold 1-nth/1 to n/1 in n]'],['ばい'],"['⺅', '口', '立']",['倍'],[3],['形声 Phonetic'],[2],[59170],[36710],['R']
倒,125,10,"[' reverse/inversion/upside down unreasonable/absurd/wrong,', ' inverted/upside down/reversed/back to front/wrong way round,', ' inverse/reverse]']","['さかしま', 'しま', 'さかさま', 'さま', 'さか']","['⺅', '刂', '至', '土', '厶']",['倒'],[7],['形声 Phonetic'],[3],[51738],[50977],['S']
候,126,10,"[' season/weather,', ' to be to do,', "" to serve (by a superior's side) to be to do]""]","['こう', 'そろ', 'そうろう', 'ふ']","['｜', '⺅', '矢']",['候'],[4],['形声 Phonetic'],[3],[82458],[82442],['P']
倚,127,10,[],[],"['⺅', '口', '大', '亅', '一']",,,,,,,
借,128,10,[],[],"['⺅', '日']",['借'],[4],['形声 Phonetic'],[4],[25968],[25957],['S']
値,129,10,"[' price/cost value/worth/merit value,', ' level/value,', ' price/cost value/worth/merit]']","['あたい', 'ち', 'ね']","['⺅', '十', '目', '｜', '一']",['値'],[6],['形声 Phonetic'],[3],[81179],[81150],['P']
倥,130,10,[],[],"['⺅', '穴', '工', '儿', '宀']",,,,,,,
倫,131,10,[],[],"['｜', '一', '⺅', '𠆢', '亅', '冊']",['倫'],[7],['形声 Phonetic'],[1],[11340],[10381],['S']
倶,132,10,[],[],"['⺅', 'ハ', '目', '一']",,,,,,,
倹,133,10,[' economizing/thriftiness/prudence/frugality]'],['けん'],"['⺅', '口', '人', '𠆢']",['倹'],[7],['形声 Phonetic'],[1],[225],[225],['.']
偃,134,11,[],[],"['⺅', '女', '日', '匚']",,,,,,,
偉,135,12,"[' greatness,', ' tremendous/huge]']","['い', 'えら']","['⺅', '口', '韋']",['偉'],[7],['形声 Phonetic'],[3],[6493],[6492],['R']
偏,136,11,[' left-hand radical of a character]'],['へん'],"['｜', '一', '⺅', '戸', '冂', '冊', '尸']",['偏'],[7],['形声 Phonetic'],[1],[6674],[6674],['S']
偕,137,11,[],[],"['⺅', '白', '比']",,,,,,,
停,138,11,[],[],"['⺅', '口', '亅', '亠', '冖']",['停'],[4],['形声 Phonetic'],[2],[45060],[45060],['R']
健,139,11,[],[],"['⺅', '廴', '聿']",['健'],[4],['形声 Phonetic'],[1],[94206],[59964],['S']
偬,140,11,[],[],"['丶', '⺅', '心', '勿']",,,,,,,
